No. status  matricula     apellido paterno     apellido materno               nombre edad     sexo                curp
  1      1     300053                 RIOS             MARTINEZ                LUISA   39    MUJER RIML840825MTLSRS03
  2      1     300058            GUTIERREZ            RODRIGUEZ                JORGE   87   HOMBRE GURJ361029HSRTDR01
  3      1     300063               RIVERA                 RIOS               OLIVER   17   HOMBRE RIRO060117HOCVSLA8
  4      1     300107                 RUIZ                 LUNA              NATALIA   17    MUJER RULN060107MJCZNTA1
  5      1     300124                ROJAS           VILLANUEVA                FELIX   68   HOMBRE ROVF550816HSRJLL03
  6      1     300128             GUERRERO               SUAREZ               ADRIAN  100   HOMBRE GUSA230728HPLRRD06
  7      1     300129            FERNANDEZ                 RIOS             CAROLINA   49    MUJER FERC740528MSLRSR02
  8      1     300144              MORALES              SALAZAR               ISABEL   26    MUJER MOSI971101MNLRLS07
  9      1     300152            FERNANDEZ               RIVERA               XAVIER  106   HOMBRE FERX171118HSPRVV04
 10      1     300169                 RUIZ             GUERRERO               SILVIA   58    MUJER RUGS651113MMNZRL02
 11      1     300177              MIRANDA              BARRIOS              CECILIA   10    MUJER MIBC131028MJCRRCB2
 12      1     300193              PAREDES               SUAREZ                 JOSE   14   HOMBRE PASJ091009HMCRRSA2
 13      1     300207            HERNANDEZ                PONCE                ELENA   59    MUJER HEPE640504MGTRNL01
 14      1     300208            GUTIERREZ               GUERRA                LAURA   65    MUJER GUGL581017MNTTRR03
 15      1     300233            RODRIGUEZ               SUAREZ                 INES   76    MUJER ROSI471011MSLDRN03
 16      1     300292                SOLIS              NAVARRO                ELENA   69    MUJER SONE540521MNELVL03
 17      1     300299              CABRERA                 CRUZ               SAMUEL   70   HOMBRE CACS530312HNLBRM02
 18      1     300304                MUNOZ               SUAREZ                JUANA    8    MUJER MUSJ150609MCHNRNB3
 19      1     300322             FIGUEROA              NAVARRO                 SARA   48    MUJER FINS750526MCHGVR03
 20      1     300337                SOLIS              DELGADO               CARMEN   19    MUJER SODC040428MJCLLRA9
 21      1     300348               GUERRA                ROJAS               MARTIN   94   HOMBRE GURM290505HBSRJR01
 22      1     300349              JIMENEZ                PEREZ              QUIRINO   77   HOMBRE JIPQ460927HSLMRR05
 23      1     300376               VARGAS            GUTIERREZ               OLIVER   89   HOMBRE VAGO341212HNLRTL02
 24      1     300384                SOLIS               ACOSTA              QUIRINO   83   HOMBRE SOAQ400127HGTLCR02
 25      1     300388              JIMENEZ               SUAREZ                 SARA   47    MUJER JISS760424MGRMRR01
 26      1     300426                MUNOZ                 VEGA                 LUIS   49   HOMBRE MUVL740902HBCNGS03
 27      1     300439                 CRUZ              MORALES                 OLGA   89    MUJER CUMO340924MMNRRL06
 28      1     300461              DELGADO              BARRIOS                 RAUL   44   HOMBRE DEBR790601HNELRL01
 29      1     300503            RODRIGUEZ            RODRIGUEZ                LAURA   59    MUJER RORL640726MBSDDR03
 30      1     300510                SALAS                 RIOS               NESTOR   47   HOMBRE SARN760620HNTLSS01
